benchmark_id,source_id,label,metric_family,reported_value,normalized_usd_per_MWdc,pct_installed_TIV,pct_physical_replaceable_value,pct_PV_ARRAY_module_hardware,pct_PV_ARRAY_plus_fieldwork,pct_PV_ARRAY_plus_mounting_plus_fieldwork,direct_damage_grain_comparability,interpretation
AXIS_SUCCESSFUL_STOW_EVENT_SEVERITY,AXIS_SOLAR_VS_HAIL_2025,Successful stow average hail claim severity,CLAIM_SEVERITY,"$150,000/MW",150000.0,13.392857142857146,17.088258645634898,51.50836204208621,37.68052564970874,27.20608141589944,module-hardware-comparable-if-PD-only,Below the PV_ARRAY hardware cap; may be comparable to direct module failure-unit loss if BI/deductible/coverage effects are excluded.
AXIS_FIXED_TILT_EVENT_SEVERITY,AXIS_SOLAR_VS_HAIL_2025,Fixed-tilt average hail claim severity,CLAIM_SEVERITY,"$340,000/MW",340000.0,30.357142857142865,38.7333862634391,116.75228729539542,85.40919147267316,61.66711787603874,requires-fieldwork-or-claim-cost-allocation,Above PV_ARRAY hardware cap but within PV_ARRAY + unallocated replacement fieldwork; likely gross-claim/repair-cost grain rather than pure module DR.
AXIS_FAILED_STOW_EVENT_SEVERITY,AXIS_SOLAR_VS_HAIL_2025,Tracker failed-stow average hail claim severity,CLAIM_SEVERITY,"$380,000/MW",380000.0,33.92857142857144,43.29025523560841,130.4878505066184,95.45733164592882,68.9220729202786,requires-fieldwork-or-claim-cost-allocation,Above PV_ARRAY hardware cap but within PV_ARRAY + unallocated replacement fieldwork; likely gross-claim/repair-cost grain rather than pure module DR.
AXIS_HEAT_STRENGTHENED_GLASS_DELTA,AXIS_SOLAR_VS_HAIL_2025,Heat-strengthened glass average gross claim amount delta vs fully tempered,CLAIM_SEVERITY_DELTA,"+$50,000/MW",50000.0,4.464285714285715,5.696086215211633,17.169454014028737,12.56017521656958,9.068693805299814,delta-only-module-cost-signal,"Delta by module glass type; useful for selector/material knob, not a standalone loss severity."
AXIS_GLOBAL_CLOSED_CLAIMS_2019_2025_GROSS_PER_AFFECTED_CAPACITY,AXIS_GALLAGHER_RE_RISK_INSURANCE_2026,Global closed solar PV hail claims gross amount divided by reported affected capacity,AGGREGATE_CLAIM_INTENSITY,"$342M / 2.7GW = $126,667/MW",126666.66666666667,11.309523809523812,14.430085078536138,43.495950168872795,31.819110548642936,22.97402430675953,normalization-only,"Useful normalized reference number, but not directly comparable to M3 module-only damage without source-basis review."
KWH_2026_100YR_FAIL_THRESHOLD,KWH_SRA_2026_OPEN_PAGE,SRA 2026 pass/fail threshold for modeled 100-MW SAT configurations,RETURN_PERIOD_LOSS_THRESHOLD,1-in-100 hail loss >10% asset value = fail,112000.0,10.000000000000002,12.759233122074058,38.45957699142437,28.134792485115863,20.313874123871585,M4-or-tail-metric-only,"Annual/return-period metric; normalize with the value basis, but compare only after M4 event-year loss distribution and insurance/financial basis are aligned."
KWH_POWERMAG_STANDARD_AAL,KWH_POWERMAG_RESILIENCY_CASE_2025,Standard design high-hail-risk 100-MW project net loss AAL,AAL,"$1,062,720/year for 100 MW",10627.2,0.9488571428571432,1.2106689485259414,3.649264433957724,2.669589881230565,1.9274964561536438,M4-or-tail-metric-only,"Annual/return-period metric; normalize with the value basis, but compare only after M4 event-year loss distribution and insurance/financial basis are aligned."
KWH_POWERMAG_RESILIENT_AAL,KWH_POWERMAG_RESILIENCY_CASE_2025,Resilient design high-hail-risk 100-MW project net loss AAL,AAL,"$307,790/year for 100 MW",3077.9,0.27481250000000007,0.3506396752359977,1.056917250195581,0.7731792659815903,0.5582506532666459,M4-or-tail-metric-only,"Annual/return-period metric; normalize with the value basis, but compare only after M4 event-year loss distribution and insurance/financial basis are aligned."
GCUBE_AVG_CLAIM_100MW_SENSITIVITY,GCUBE_HAIL_NO_2023_PUBLIC_SUMMARIES,GCube $58.4M average claim if denominator were 100 MW,CLAIM_SEVERITY_SENSITIVITY,"$584,000/MW",584000.0,52.14285714285716,66.53028699367187,200.53922288385567,146.7028465295327,105.92234364590183,capacity-denominator-sensitive,"Sensitivity conversion only because public source lacks the claim capacity denominator; useful for scale checks, not a direct M3 comparison."
GCUBE_AVG_CLAIM_200MW_SENSITIVITY,GCUBE_HAIL_NO_2023_PUBLIC_SUMMARIES,GCube $58.4M average claim if denominator were 200 MW,CLAIM_SEVERITY_SENSITIVITY,"$292,000/MW",292000.0,26.07142857142858,33.26514349683593,100.26961144192784,73.35142326476635,52.96117182295092,capacity-denominator-sensitive,"Sensitivity conversion only because public source lacks the claim capacity denominator; useful for scale checks, not a direct M3 comparison."
GCUBE_AVG_CLAIM_350MW_SENSITIVITY,GCUBE_HAIL_NO_2023_PUBLIC_SUMMARIES,GCube $58.4M average claim if denominator were 350 MW,CLAIM_SEVERITY_SENSITIVITY,"$166,857/MW",166857.14285714287,14.897959183673473,19.008653426763395,57.296920823958764,41.91509900843792,30.263526755971952,capacity-denominator-sensitive,"Sensitivity conversion only because public source lacks the claim capacity denominator; useful for scale checks, not a direct M3 comparison."
